Date,LSTM_Forecast
2026-06-22,487.467
2026-06-23,487.4673
2026-06-24,487.46756
2026-06-25,487.46777
2026-06-26,487.46808
2026-06-29,487.4683
2026-06-30,487.4685
2026-07-01,487.46875
2026-07-02,487.46902
2026-07-03,487.46924
2026-07-06,487.46948
2026-07-07,487.46964
2026-07-08,487.46985
2026-07-09,487.47003
2026-07-10,487.47018
2026-07-13,487.4703
2026-07-14,487.47043
2026-07-15,487.47058
2026-07-16,487.4707
2026-07-17,487.47086
