Date,ARIMA_Forecast
2025-07-31,319.0400085449219
2025-08-01,319.0400085449219
2025-08-04,319.0400085449219
2025-08-05,319.0400085449219
2025-08-06,319.0400085449219
2025-08-07,319.0400085449219
2025-08-08,319.0400085449219
2025-08-11,319.0400085449219
2025-08-12,319.0400085449219
2025-08-13,319.0400085449219
2025-08-14,319.0400085449219
2025-08-15,319.0400085449219
2025-08-18,319.0400085449219
2025-08-19,319.0400085449219
2025-08-20,319.0400085449219
2025-08-21,319.0400085449219
2025-08-22,319.0400085449219
2025-08-25,319.0400085449219
2025-08-26,319.0400085449219
2025-08-27,319.0400085449219
2025-08-28,319.0400085449219
2025-08-29,319.0400085449219
2025-09-01,319.0400085449219
2025-09-02,319.0400085449219
2025-09-03,319.0400085449219
2025-09-04,319.0400085449219
2025-09-05,319.0400085449219
2025-09-08,319.0400085449219
2025-09-09,319.0400085449219
2025-09-10,319.0400085449219
