Portfolio,TSLA_w,BND_w,SPY_w,Expected_Annual_Return,Annual_Volatility,Sharpe,Risk_Free,TSLA_Exp_Annual_From
Min Volatility,1.9949319973733282e-17,0.9430917901444409,0.056908209855559125,-0.00014156020902833522,0.0543901289188193,-0.002602681991010172,0.0,lstm
Max Sharpe,0.0,1.3651857422303237e-12,0.99999999999877,0.13649696766675007,0.1831328728815871,0.7453438889382958,0.0,lstm
