Date,ARIMA_Forecast,ARIMA_Lower,ARIMA_Upper
2025-07-31,319.0400085449219,305.25331109363185,332.8267059962119
2025-08-01,319.0400085449219,299.54267402897244,338.5373430608713
2025-08-04,319.0400085449219,295.16074809070636,342.9192689991374
2025-08-05,319.0400085449219,291.46661364234075,346.613403447503
2025-08-06,319.0400085449219,288.21201585861303,349.8680012312307
2025-08-07,319.0400085449219,285.26963455113054,352.8103825387132
2025-08-08,319.0400085449219,282.56383568791887,355.5161814019249
2025-08-11,319.0400085449219,280.04533951302227,358.0346775768215
2025-08-12,319.0400085449219,277.6799161910499,360.4001008987938
2025-08-13,319.0400085449219,275.4426431872051,362.63737390263867
2025-08-14,319.0400085449219,273.3147060008416,364.7653110890021
2025-08-15,319.0400085449219,271.2814876364903,366.79852945335347
2025-08-18,319.0400085449219,269.33136396498463,368.7486531248591
2025-08-19,319.0400085449219,267.45491018708265,370.6251069027611
2025-08-20,319.0400085449219,265.6443589168728,372.43565817297093
2025-08-21,319.0400085449219,263.89321873975916,374.1867983500846
2025-08-22,319.0400085449219,262.1959987248166,375.88401836502715
2025-08-25,319.0400085449219,260.54800499707227,377.5320120927715
2025-08-26,319.0400085449219,258.945187589576,379.13482950026776
2025-08-27,319.0400085449219,257.3840231723037,380.69599391754
2025-08-28,319.0400085449219,255.86142389092754,382.2185931989162
2025-08-29,319.0400085449219,254.37466554347048,383.70535154637327
2025-09-01,319.0400085449219,252.92133030564685,385.1586867841969
2025-09-02,319.0400085449219,251.4992605573388,386.58075653250495
2025-09-03,319.0400085449219,250.1065212884684,387.97349580137535
2025-09-04,319.0400085449219,248.7413692127907,389.33864787705306
2025-09-05,319.0400085449219,247.40222718227437,390.6777899075694
2025-09-08,319.0400085449219,246.08766283091546,391.9923542589283
2025-09-09,319.0400085449219,244.79637062362025,393.2836464662235
2025-09-10,319.0400085449219,243.5271566692129,394.55286042063085
2025-09-11,319.0400085449219,242.278925794506,395.80109129533776
2025-09-12,319.0400085449219,241.05067048112232,397.0293466087214
2025-09-15,319.0400085449219,239.84146134711625,398.2385557427275
2025-09-16,319.0400085449219,238.65043891765947,399.4295781721843
2025-09-17,319.0400085449219,237.47680647762994,400.60321061221384
2025-09-18,319.0400085449219,236.31982383717764,401.7601932526661
2025-09-19,319.0400085449219,235.1788018716528,402.90121521819094
2025-09-22,319.0400085449219,234.05309772148874,404.02691936835504
2025-09-23,319.0400085449219,232.94211055708712,405.13790653275663
2025-09-24,319.0400085449219,231.845277829488,406.23473926035575
2025-09-25,319.0400085449219,230.76207194040867,407.3179451494351
2025-09-26,319.0400085449219,229.69199727570629,408.38801981413746
2025-09-29,319.0400085449219,228.63458755493195,409.4454295349118
2025-09-30,319.0400085449219,227.58940345676112,410.4906136330826
2025-10-01,319.0400085449219,226.5560304859945,411.52398660384927
2025-10-02,319.0400085449219,225.53407705275617,412.5459400370876
2025-10-03,319.0400085449219,224.52317273864335,413.5568443512004
2025-10-06,319.0400085449219,223.5229667280584,414.55705036178534
2025-10-07,319.0400085449219,222.53312638588687,415.5468907039569
2025-10-08,319.0400085449219,221.55333596517232,416.5266811246714
2025-10-09,319.0400085449219,220.5832954305551,417.49672165928865
2025-10-10,319.0400085449219,219.6227193850471,418.45729770479664
2025-10-13,319.0400085449219,218.67133608926179,419.40868100058196
2025-10-14,319.0400085449219,217.7288865635471,420.35113052629663
2025-10-15,319.0400085449219,216.795123764614,421.28489332522975
2025-10-16,319.0400085449219,215.8698118292431,422.2102052606007
2025-10-17,319.0400085449219,214.95272537850772,423.12729171133606
2025-10-20,319.0400085449219,214.04364887669954,424.0363682131442
2025-10-21,319.0400085449219,213.14237603978916,424.9376410500546
2025-10-22,319.0400085449219,212.24870928882348,425.8313078010203
2025-10-23,319.0400085449219,211.36245924415542,426.71755784568836
2025-10-24,319.0400085449219,210.48344425684016,427.5965728330036
2025-10-27,319.0400085449219,209.61148997391206,428.4685271159317
2025-10-28,319.0400085449219,208.74642893459608,429.33358815524764
2025-10-29,319.0400085449219,207.88810019480536,430.1919168950384
2025-10-30,319.0400085449219,207.03634897753932,431.04366811230443
2025-10-31,319.0400085449219,206.1910263470325,431.88899074281125
2025-11-03,319.0400085449219,205.35198890471096,432.72802818513276
2025-11-04,319.0400085449219,204.51909850519854,433.5609185846452
2025-11-05,319.0400085449219,203.69222199078018,434.38779509906357
2025-11-06,319.0400085449219,202.87123094287745,435.2087861469663
2025-11-07,319.0400085449219,202.05600144922232,436.0240156406214
2025-11-10,319.0400085449219,201.24641388553425,436.8336032043095
2025-11-11,319.0400085449219,200.4423527106115,437.63766437923226
2025-11-12,319.0400085449219,199.64370627384244,438.4363108160013
2025-11-13,319.0400085449219,198.85036663422977,439.229650455614
2025-11-14,319.0400085449219,198.06222939009598,440.01778769974777
2025-11-17,319.0400085449219,197.27919351871054,440.8008235711332
2025-11-18,319.0400085449219,196.50116122514055,441.5788558647032
2025-11-19,319.0400085449219,195.7280377996852,442.3519792901585
2025-11-20,319.0400085449219,194.9597314833053,443.12028560653846
2025-11-21,319.0400085449219,194.1961533405068,443.8838637493369
2025-11-24,319.0400085449219,193.4372171391797,444.6427999506641
2025-11-25,319.0400085449219,192.6828392369328,445.39717785291094
2025-11-26,319.0400085449219,191.93293847350043,446.1470786163433
2025-11-27,319.0400085449219,191.18743606882867,446.8925810210151
2025-11-28,319.0400085449219,190.44625552647975,447.63376156336403
2025-12-01,319.0400085449219,189.70932254201878,448.370694547825
2025-12-02,319.0400085449219,188.97656491607225,449.10345217377153
